TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-09-03 06:36:49,1788417409715,anjnpul1.vercel.app/api/wages/bulk,POST,,500,7htxx-1788417409235-84107e957c91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/wages/bulk,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,,,,,========================================================,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:36:49,1788417409235,anjnpul1.vercel.app/api/wages/bulk,POST,,500,7htxx-1788417409235-84107e957c91,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/bulk,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,459,bom1,377,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JZR0712RCHFKHW1H4051WX,LpNOkos9GM01,1,,
2026-09-03 06:35:14,1788417314977,anjnpul1.vercel.app/api/wages/eligible-employees,POST,,200,jsw4w-1788417314977-3087ab90bcd7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/eligible-employees,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,56,bom1,385,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JZN455YYXW1T39B2NJ12VT,FO1ZhrYhoMqa,1,,
2026-09-03 06:35:14,1788417314794,anjnpul1.vercel.app/api/banking,GET,,200,2xfjg-1788417314794-7c962875469f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/banking,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,47,bom1,384,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JZN3ZVTR31Z4HMC8H2DC6P,FO1ZhrYhoMqa,1,,
2026-09-03 06:35:10,1788417310355,anjnpul1.vercel.app/api/auth/me,GET,,200,rwhpq-1788417310355-12de52393cba,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,17,bom1,427,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JZMZMYXG12BETHHJ36MHYP,zzA6VQJG8sYn,1,,
2026-09-03 06:35:10,1788417310272,anjnpul1.vercel.app/api/auth/me,GET,,200,jsw4w-1788417310272-7594e4d02c6a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,18,bom1,427,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JZMZJ6KFESMWS4H7A99E1J,zzA6VQJG8sYn,1,,
2026-09-03 06:35:11,1788417311233,anjnpul1.vercel.app/terms/_payload.json,GET,_b=78959934-b5a8-4687-b801-d246c6d993a1,200,gk2vf-1788417310192-269991b83df2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/terms/_payload.json-isr,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,,,,,🔥 [Firebase Plugin] Firebase Admin SDK initialized for project: work-vs-payment,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:35:11,1788417311234,anjnpul1.vercel.app/terms/_payload.json,GET,_b=78959934-b5a8-4687-b801-d246c6d993a1,200,gk2vf-1788417310192-269991b83df2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/terms/_payload.json-isr,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,,,,,Initializing MongoDB connection via Nitro plugin...,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:35:11,1788417311234,anjnpul1.vercel.app/terms/_payload.json,GET,_b=78959934-b5a8-4687-b801-d246c6d993a1,200,gk2vf-1788417310192-269991b83df2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/terms/_payload.json-isr,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,,,,,Initializing PostgreSQL connection via Nitro plugin...,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:35:10,1788417310192,anjnpul1.vercel.app/terms/_payload.json,GET,_b=78959934-b5a8-4687-b801-d246c6d993a1,200,gk2vf-1788417310192-269991b83df2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/terms/_payload.json-isr,anjnpul1.vercel.app,anjnpul1-97tbxvn0y-paulanjan3-yahooins-projects.vercel.app,dpl_7J6Ejk68dd2XRNfo5VoHPWmQcTdS,2392,bom1,375,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JZMZG5Z648WEXCAF224279,mTeDaou7AbXo,1,,
