TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-09-03 06:15:32,1788416132975,anjnpul1.vercel.app/api/wages/bulk,POST,,200,q4wpt-1788416132975-95eb6efd4640,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/bulk,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,47,bom1,380,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYH1VYXATX74P9TFXV201F,RDO8xOa5yWXf,1,,
2026-09-03 06:14:51,1788416091260,anjnpul1.vercel.app/api/auth/me,GET,,200,xcvms-1788416091260-39d5f7a2fa38,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,13,bom1,379,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYFS47J2NT2RTQ9F13BX2P,RDO8xOa5yWXf,1,,
2026-09-03 06:14:51,1788416091179,anjnpul1.vercel.app/api/auth/me,GET,,200,zcp29-1788416091179-04a9235fd43a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,13,bom1,379,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYFS1R59Z686AP4TYH6X7D,RDO8xOa5yWXf,1,,
2026-09-03 06:14:51,1788416091060,anjnpul1.vercel.app/api/auth/me,GET,,200,kdhlg-1788416091060-bc944a6b9a34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/me,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,77,bom1,379,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JYFRY2ZR3F5APGR3QMZ4R1,RDO8xOa5yWXf,1,,
2026-09-03 06:11:33,1788415893522,anjnpul1.vercel.app/api/wages/eligible-employees,POST,,200,68n7x-1788415893522-058f450b104f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/eligible-employees,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,108,bom1,377,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9R0PPY5Z6W8B96Q7B29K,RDO8xOa5yWXf,1,,
2026-09-03 06:11:33,1788415893436,anjnpul1.vercel.app/api/banking,GET,,200,68n7x-1788415893436-04885ca4866b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/banking,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,31,bom1,371,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9QY0FEXN6CFY6BWAZ1P2,RDO8xOa5yWXf,1,,
2026-09-03 06:11:30,1788415890066,anjnpul1.vercel.app/api/wages/month,GET,month=2026-07,200,68n7x-1788415890066-3fe82f63a1dd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,36,bom1,390,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9MMWZ8V3YP5Q58KSSE3Q,UxO7o1El5ktM,1,,
2026-09-03 06:11:30,1788415890062,anjnpul1.vercel.app/api/wages/month,GET,month=2026-08,200,rn5dk-1788415890062-03f2e0aaf9ff,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,18,bom1,389,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9MMMM5S5CXMJ06SJ498F,UxO7o1El5ktM,1,,
2026-09-03 06:11:30,1788415890060,anjnpul1.vercel.app/api/wages/month,GET,month=2026-06,200,5j7pd-1788415890060-341b0fab549f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,43,bom1,395,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9MMH2NYZW6XS049PMYG7,fC8rC9t5Cw4w,1,,
2026-09-03 06:11:30,1788415890081,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,🔥 [Firebase Plugin] Firebase Admin SDK initialized for project: work-vs-payment,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
